music_id,track_id,bpm,mode,key,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
539,539,92,Major,D,85,92,54,16,29,7
540,540,90,Minor,F#,63,75,75,17,11,8
541,541,94,Minor,E,84,90,70,9,14,8
542,542,93,Major,B,81,53,78,18,6,24
543,543,130,Minor,D,51,50,76,30,10,7
544,544,180,Minor,G,35,23,61,23,19,6
545,545,95,Minor,D#,92,31,89,3,8,25
546,546,184,Major,F#,69,91,63,11,9,31
547,547,147,Minor,G#,47,50,80,10,32,38
548,548,123,Major,G,52,44,60,40,26,3
549,549,123,Minor,A#,91,49,61,3,17,22
550,550,90,Minor,F#,90,79,71,26,7,37
551,551,160,Minor,D,61,65,64,1,12,4
552,552,115,Major,C#,60,37,71,8,48,4
553,553,141,Major,D#,37,17,67,2,34,9
554,554,160,Major,A,31,30,88,7,8,8
555,555,145,Major,B,57,23,66,4,15,4
556,556,95,Minor,F,84,49,72,8,15,8
557,557,160,Major,D,60,47,62,3,38,4
558,558,174,Minor,F,67,74,75,44,7,30
559,559,92,Major,G,77,76,84,3,38,4
560,560,134,Major,G#,93,61,74,9,17,8
561,561,172,Minor,B,31,4,86,1,28,17
562,562,80,Major,A,76,92,62,6,8,13
563,563,150,Minor,C#,91,42,60,0,9,12
564,564,80,Minor,F#,78,53,74,4,45,21
565,565,166,Minor,A#,81,83,75,14,29,34
566,566,120,Major,G#,67,8,54,27,8,4
567,567,85,Minor,G#,74,61,52,30,26,9
568,568,154,Minor,D,79,86,52,66,9,7
569,569,92,Minor,D,73,37,74,28,14,6
570,570,140,Major,B,89,75,70,6,13,5
571,571,89,Major,C#,65,60,60,11,10,40
572,572,135,Minor,F,89,89,86,16,8,5
573,573,140,Minor,G#,51,66,53,60,11,18
574,574,82,Major,D#,47,44,76,8,9,3
